Status    Aktivität
---------------------------------------------------------------------------------------
erledigt  alle Aktivitäten vor dieser TODO-Liste
erledigt  TODO-Liste als Dialog anzeigen
erledigt  Hilfe über App Benutzung als Dialog anzeigen
erledigt  Refactoring leaflet Funktionen und Tooltip/Popup in eigene Klassen auslagern
erledigt  neuen circleMarker für Tankstellen mit Preis
erledigt  Radius des circleMarkers hängt von Preis ab, kleinster Preis = größter Radius
erledigt  das Ranking wird auch im Popup und tooltip angezeigt
erledigt  Längen- und Breitengrad in Tooltip u PopUp in Grad/Min umrechnen
erledigt  Verbessergung der Marker-Größen Darstellung
